frame,time,emotion,confidence
336,16.8,none,0
337,16.85,none,0
338,16.9,sad,60
339,16.95,none,0
340,17.0,sad,48
341,17.05,sad,51
342,17.1,sad,56
343,17.15,sad,56
344,17.2,sad,56
345,17.25,none,0
346,17.3,none,0
347,17.35,sad,53
348,17.4,none,0
349,17.45,none,0
350,17.5,none,0
351,17.55,none,0
352,17.6,none,0
353,17.65,none,0
354,17.7,none,0
355,17.75,none,0
356,17.8,none,0
357,17.85,none,0
358,17.9,none,0
359,17.95,none,0
360,18.0,none,0
361,18.05,none,0
362,18.1,none,0
363,18.15,none,0
364,18.2,none,0
365,18.25,none,0
366,18.3,none,0
367,18.35,none,0
368,18.4,none,0
369,18.45,none,0
370,18.5,none,0
371,18.55,none,0
372,18.6,none,0
373,18.65,none,0
374,18.7,none,0
375,18.75,none,0
376,18.8,none,0
377,18.85,none,0
378,18.9,none,0
379,18.95,none,0
380,19.0,none,0
381,19.05,none,0
382,19.1,none,0
383,19.15,none,0
384,19.2,none,0
385,19.25,none,0
386,19.3,none,0
387,19.35,none,0
388,19.4,none,0
389,19.45,none,0
390,19.5,none,0
391,19.55,none,0
392,19.6,none,0
393,19.65,none,0
394,19.7,none,0
395,19.75,none,0
396,19.8,none,0
397,19.85,none,0
398,19.9,none,0
399,19.95,none,0
400,20.0,none,0
401,20.05,none,0
402,20.1,none,0
403,20.15,none,0
404,20.2,none,0
405,20.25,none,0
406,20.3,none,0
407,20.35,none,0
408,20.4,none,0
409,20.45,none,0
410,20.5,none,0
411,20.55,none,0
412,20.6,none,0
413,20.65,none,0
414,20.7,none,0
415,20.75,none,0
416,20.8,none,0
417,20.85,none,0
418,20.9,none,0
419,20.95,none,0
420,21.0,none,0
421,21.05,none,0
422,21.1,none,0
423,21.15,none,0
424,21.2,none,0
425,21.25,none,0
426,21.3,none,0
427,21.35,none,0
428,21.4,none,0
429,21.45,none,0
430,21.5,none,0
431,21.55,none,0
432,21.6,none,0
433,21.65,none,0
434,21.7,none,0
435,21.75,none,0
436,21.8,none,0
437,21.85,none,0
438,21.9,none,0
439,21.95,none,0
440,22.0,none,0
441,22.05,none,0
442,22.1,none,0
443,22.15,none,0
444,22.2,none,0
445,22.25,none,0
446,22.3,none,0
447,22.35,none,0
448,22.4,none,0
449,22.45,none,0
450,22.5,none,0
451,22.55,none,0
452,22.6,none,0
453,22.65,none,0
454,22.7,none,0
455,22.75,none,0
456,22.8,none,0
457,22.85,none,0
458,22.9,none,0
459,22.95,sad,41
460,23.0,none,0
461,23.05,none,0
462,23.1,none,0
463,23.15,none,0
464,23.2,none,0
465,23.25,none,0
466,23.3,none,0
467,23.35,none,0
468,23.4,sad,59
469,23.45,sad,48
470,23.5,none,0
471,23.55,none,0
472,23.6,none,0
473,23.65,none,0
474,23.7,none,0
475,23.75,none,0
476,23.8,none,0
477,23.85,none,0
478,23.9,none,0
479,23.95,none,0
480,24.0,none,0
481,24.05,none,0
482,24.1,none,0
483,24.15,none,0
484,24.2,none,0
485,24.25,none,0
486,24.3,none,0
487,24.35,none,0
488,24.4,none,0
489,24.45,none,0
490,24.5,none,0
491,24.55,none,0
492,24.6,none,0
493,24.65,none,0
494,24.7,none,0
495,24.75,none,0
496,24.8,none,0
497,24.85,none,0
498,24.9,none,0
499,24.95,none,0
500,25.0,none,0
501,25.05,none,0
502,25.1,none,0
503,25.15,none,0
504,25.2,none,0
505,25.25,none,0
506,25.3,none,0
507,25.35,none,0
508,25.4,none,0
509,25.45,none,0
510,25.5,none,0
511,25.55,none,0
512,25.6,none,0
513,25.65,none,0
514,25.7,none,0
515,25.75,none,0
516,25.8,none,0
517,25.85,none,0
518,25.9,none,0
519,25.95,none,0
520,26.0,none,0
521,26.05,none,0
522,26.1,none,0
523,26.15,none,0
524,26.2,none,0
525,26.25,none,0
526,26.3,none,0
527,26.35,none,0
528,26.4,none,0
529,26.45,none,0
530,26.5,none,0
531,26.55,none,0
532,26.6,none,0
533,26.65,none,0
534,26.7,none,0
535,26.75,none,0
536,26.8,none,0
537,26.85,none,0
538,26.9,none,0
539,26.95,none,0
540,27.0,none,0
541,27.05,none,0
542,27.1,none,0
543,27.15,none,0
544,27.2,none,0
545,27.25,none,0
546,27.3,none,0
547,27.35,none,0
548,27.4,none,0
549,27.45,none,0
550,27.5,none,0
551,27.55,none,0
552,27.6,none,0
553,27.65,none,0
554,27.7,none,0
555,27.75,none,0
556,27.8,none,0
557,27.85,none,0
558,27.9,none,0
559,27.95,none,0
560,28.0,none,0
561,28.05,none,0
562,28.1,none,0
563,28.15,none,0
564,28.2,none,0
565,28.25,none,0
566,28.3,none,0
567,28.35,none,0
568,28.4,none,0
569,28.45,none,0
570,28.5,none,0
571,28.55,none,0
572,28.6,none,0
573,28.65,none,0
574,28.7,none,0
575,28.75,none,0
576,28.8,none,0
577,28.85,none,0
578,28.9,none,0
579,28.95,none,0
580,29.0,none,0
581,29.05,none,0
582,29.1,none,0
583,29.15,none,0
584,29.2,none,0
585,29.25,none,0
586,29.3,none,0
587,29.35,none,0
588,29.4,none,0
589,29.45,none,0
590,29.5,none,0
591,29.55,none,0
592,29.6,none,0
593,29.65,none,0
594,29.7,none,0
595,29.75,none,0
596,29.8,none,0
597,29.85,none,0
598,29.9,none,0
599,29.95,none,0
600,30.0,none,0
601,30.05,none,0
602,30.1,none,0
603,30.15,none,0
604,30.2,none,0
605,30.25,none,0
606,30.3,none,0
607,30.35,none,0
608,30.4,none,0
609,30.45,none,0
610,30.5,none,0
611,30.55,none,0
612,30.6,none,0
613,30.65,none,0
614,30.7,none,0
615,30.75,none,0
616,30.8,none,0
617,30.85,none,0
618,30.9,none,0
619,30.95,none,0
620,31.0,none,0
621,31.05,none,0
622,31.1,none,0
623,31.15,none,0
624,31.2,none,0
625,31.25,none,0
626,31.3,none,0
627,31.35,none,0
628,31.4,none,0
629,31.45,none,0
630,31.5,none,0
631,31.55,none,0
632,31.6,none,0
633,31.65,none,0
634,31.7,none,0
635,31.75,none,0
636,31.8,none,0
637,31.85,none,0
638,31.9,none,0
639,31.95,none,0
640,32.0,none,0
641,32.05,none,0
642,32.1,none,0
643,32.15,none,0
644,32.2,none,0
645,32.25,none,0
646,32.3,none,0
647,32.35,none,0
648,32.4,none,0
649,32.45,none,0
650,32.5,none,0
651,32.55,none,0
652,32.6,none,0
653,32.65,none,0
654,32.7,none,0
655,32.75,none,0
656,32.8,none,0
657,32.85,none,0
658,32.9,none,0
659,32.95,none,0
660,33.0,none,0
661,33.05,none,0
662,33.1,none,0
663,33.15,none,0
664,33.2,none,0
665,33.25,none,0
666,33.3,none,0
667,33.35,none,0
668,33.4,none,0
669,33.45,none,0
670,33.5,none,0
671,33.55,none,0
672,33.6,none,0
673,33.65,none,0
674,33.7,none,0
675,33.75,none,0
676,33.8,none,0
677,33.85,none,0
678,33.9,none,0
679,33.95,none,0
680,34.0,none,0
681,34.05,none,0
682,34.1,none,0
683,34.15,none,0
684,34.2,none,0
685,34.25,none,0
686,34.3,none,0
687,34.35,none,0
688,34.4,none,0
689,34.45,none,0
690,34.5,none,0
691,34.55,none,0
692,34.6,none,0
693,34.65,none,0
694,34.7,none,0
695,34.75,none,0
696,34.8,none,0
697,34.85,none,0
698,34.9,none,0
699,34.95,none,0
700,35.0,none,0
701,35.05,none,0
702,35.1,none,0
703,35.15,none,0
704,35.2,none,0
705,35.25,none,0
706,35.3,none,0
707,35.35,none,0
708,35.4,none,0
709,35.45,none,0
710,35.5,none,0
711,35.55,none,0
712,35.6,none,0
713,35.65,none,0
714,35.7,none,0
715,35.75,none,0
716,35.8,none,0
717,35.85,none,0
718,35.9,none,0
719,35.95,none,0
720,36.0,none,0
